timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T14:06:21.796027,92,blink,121.5,232.0,
2026-06-12T14:06:21.939552,96,move_right,182.5,237.5,dx=61.0px
2026-06-12T14:06:23.515760,144,move_left,76.0,214.5,dx=-91.0px
2026-06-12T14:06:27.429784,260,blink,70.5,227.0,
2026-06-12T14:06:27.844506,272,smile,75.0,218.5,
2026-06-12T14:06:28.371582,288,move_right,194.5,255.0,dx=92.5px
2026-06-12T14:06:30.516362,352,move_right,339.0,254.5,dx=25.0px
2026-06-12T14:06:30.932057,364,move_left,310.0,254.5,dx=-21.0px
2026-06-12T14:06:31.059491,368,move_right,333.0,252.5,dx=23.0px
2026-06-12T14:06:31.733170,388,move_left,318.0,258.5,dx=-46.5px
2026-06-12T14:06:32.132822,400,move_right,512.0,255.5,dx=194.0px
2026-06-12T14:06:33.747480,448,blink,507.0,257.0,
2026-06-12T14:06:34.946677,484,blink,508.5,257.5,
2026-06-12T14:06:35.746819,508,move_right,539.0,248.0,dx=31.5px
